postal_code,stars,review_count
53527,3.763888888888889,314
53528,3.6956521739130435,318
53529,4.625,21
53532,3.4,621
53558,3.7288135593220337,583
53562,3.635014836795252,7056
53572,3.9150943396226414,689
53575,3.5324675324675323,731
53589,3.733009708737864,1040
53590,3.617777777777778,3318
53593,3.8295454545454546,1758
53597,3.5892857142857144,801
53598,3.625,219
53701,3.1,57
53702,4.25,246
53703,3.7721354166666665,37226
53704,3.494690265486726,13113
53705,3.7456896551724137,6157
53706,4.092592592592593,378
53707,5.0,19
53711,3.789808917197452,7296
53713,3.516431924882629,2890
53714,3.617283950617284,1189
53715,3.594059405940594,5419
53716,3.54320987654321,3176
53717,3.6022099447513813,3597
53718,3.608108108108108,1501
53719,3.490079365079365,8856
53725,2.8333333333333335,11
53726,3.85,295
53744,3.1,39
53774,3.325,302
53783,1.5,9
53788,4.5,3
53792,4.25,19
53885,1.0,4
53911,4.5,7
53965,2.5,20
54558,4.0,4
54842,4.0,6
60007,2.6666666666666665,51
60031,5.0,3
60191,2.0,4
60686,2.5,35
61801,3.4875,5846
61802,3.5592592592592593,1663
61803,3.272727272727273,163
61816,5.0,4
61820,3.4972375690607733,19714
61821,3.4330357142857144,3191
61822,3.3361702127659574,3193
61824,4.5,10
61825,5.0,4
61826,3.25,8
61840,2.5,3
61843,4.0,3
61844,4.5,4
61847,3.0,4
61849,4.625,22
61853,3.8214285714285716,371
61854,4.75,7
61856,3.6666666666666665,262
61858,3.75,29
61859,3.8,28
61864,3.3333333333333335,27
61866,3.265957446808511,343
61871,3.0,3
61873,3.8529411764705883,122
61874,3.512987012987013,882
61877,4.0,22
61878,3.5,3
61880,2.5,8
61919,5.0,3
61953,3.5714285714285716,273
61956,4.5,6
63376,3.0,12
66606,5.0,3
68161,3.5,32
68451,5.0,13
70134,3.5,46
70170,5.0,10
70172,4.5,6
70173,3.6439909297052155,7334
70174,3.5434782608695654,1485
70176,4.0,1169
70178,3.739644970414201,2440
70180,4.194444444444445,757
70182,4.018987341772152,1628
70184,4.1923076923076925,168
70186,4.148148148148148,243
70188,3.9107142857142856,291
70190,3.957627118644068,554
70191,3.7948717948717947,465
70192,3.75,175
70193,3.966666666666667,413
70195,4.107142857142857,111
70197,3.8442622950819674,630
70199,4.1,258
70272,3.0,3
70327,4.0,326
70329,3.8823529411764706,136
70372,3.8859649122807016,1377
70374,3.9166666666666665,107
70376,3.7586206896551726,390
70378,3.6470588235294117,109
70435,4.0675675675675675,385
70437,4.25,29
70439,3.75,47
70469,3.74025974025974,802
70496,3.0,3
70499,3.875,236
70561,3.0,16
70563,3.7738095238095237,893
70565,3.6710526315789473,245
70567,3.831081081081081,756
70569,3.810344827586207,271
70597,3.8115942028985508,656
70599,4.166666666666667,232
70619,3.8333333333333335,95
70629,3.2941176470588234,305
70713,4.0,11
70734,3.851063829787234,386
70736,3.904255319148936,348
70761,3.0,10
70771,3.78125,699
70794,3.890909090909091,511
70806,3.896551724137931,172
70825,4.0,56
70839,3.8461538461538463,160
71032,3.817073170731707,879
71034,3.5,353
71063,3.7384615384615385,658
71065,3.7333333333333334,409
71067,3.6666666666666665,49
71069,3.9,93
71101,4.291666666666667,74
71144,3.9285714285714284,33
71229,3.7386363636363638,305
71254,3.8636363636363638,127
71282,3.75,29
71332,3.730769230769231,281
71334,3.7142857142857144,50
71336,4.0,5
71384,4.0,12
71386,3.5,3
71394,3.6818181818181817,71
71409,3.8333333333333335,13
71632,4.0,12
71634,3.7837837837837838,813
71636,3.578125,477
71637,3.5,4
71638,3.760869565217391,732
71640,3.5,68
71642,3.6,75
71665,5.0,3
71686,3.6666666666666665,71
71691,4.5,7
71696,4.0,22
71701,3.6875,48
71854,5.0,12
71863,5.0,3
72041,2.5,6
72202,2.5,17
72649,4.0,3
73269,4.0,13
73701,2.5,6
73728,3.8763440860215055,914
73730,3.65,114
73732,3.7857142857142856,67
73733,3.8333333333333335,76
73734,3.1666666666666665,15
73760,3.9574468085106385,281
73765,4.083333333333333,46
73770,3.75,22
73773,3.5,6
75095,3.5,3
77056,4.0,4
77384,5.0,3
78409,3.0,15
78579,3.75,11
80078,4.5,4
81058,3.5,16
82595,4.0,60
84295,4.0,38
85001,4.389705882352941,1054
85002,3.5,46
85003,3.6377551020408165,19896
85004,3.696353436185133,49338
85005,4.125,310
85006,3.7985714285714285,17662
85007,3.733502538071066,5393
85008,3.5720720720720722,11340
85009,3.4190140845070425,4542
85010,3.5,3
85012,3.8234501347708894,25534
85013,3.826923076923077,19260
85014,3.8656015037593985,27352
85015,3.425,8158
85016,3.8208782742681047,58392
85017,3.410596026490066,4963
85018,3.9249460043196542,44166
85019,3.6810344827586206,1630
85020,3.7973913043478262,19695
85021,3.596244131455399,8544
85022,3.6991525423728815,15758
85023,3.5045871559633026,10575
85024,3.835249042145594,5914
85026,2.3333333333333335,65
85027,3.7520718232044197,15940
85028,3.927027027027027,10764
85029,3.6134146341463413,9786
85030,4.166666666666667,100
85031,3.141025641025641,1470
85032,3.7028657616892913,35387
85033,3.0279329608938546,2504
85034,3.3809963099630997,25409
85035,2.961267605633803,2622
85036,3.0,21
85037,3.4,3321
85038,1.75,52
85040,3.569060773480663,7496
85041,3.574404761904762,2636
85042,3.342,6588
85043,3.0402298850574714,2288
85044,3.691335740072202,19117
85045,4.2,134
85046,5.0,5
85048,3.7962529274004684,10407
85050,3.8191214470284236,12139
85051,3.3544152744630074,10663
85052,4.0,38
85053,3.6887323943661974,8820
85054,3.7797356828193833,12410
85058,4.0,110
85060,4.166666666666667,165
85061,2.0,4
85064,4.166666666666667,33
85066,3.5,30
85067,3.6666666666666665,37
85068,4.5,29
85069,4.75,24
85070,4.375,28
85071,4.5,3
85072,1.75,49
85073,3.314814814814815,1679
85076,3.875,30
85078,3.8333333333333335,33
85080,3.7,58
85082,4.833333333333333,36
85083,4.142857142857143,652
85085,3.788961038961039,9378
85086,3.6496350364963503,4629
85087,4.0,60
85095,3.8333333333333335,10
85106,3.5,17
85118,4.0,3
85119,4.5,7
85120,3.5,23
85122,3.0,12
85138,1.5,7
85140,4.0,242
85142,3.7777777777777777,159
85143,3.2439024390243905,795
85201,3.579330422125182,17040
85202,3.6696035242290748,20467
85203,3.6896067415730336,6641
85204,3.629197080291971,18409
85205,3.7660753880266076,9787
85206,3.4697406340057637,14019
85207,3.8220720720720722,3252
85208,3.5,1161
85209,3.5741206030150754,8687
85210,3.594730238393977,19166
85211,4.75,46
85212,3.7531380753138075,5323
85213,3.782608695652174,3808
85214,4.0,13
85215,3.7436708860759493,7704
85216,4.375,33
85218,3.0,20
85223,2.1666666666666665,11
85224,3.6829896907216493,31015
85225,3.8289473684210527,24188
85226,3.720876048462255,36674
85232,5.0,3
85233,3.8517397881996973,15881
85234,3.9502103786816267,28662
85235,5.0,5
85236,3.5344827586206895,507
85237,4.0,40
85242,3.5,7
85243,4.25,24
85244,4.0625,76
85246,4.25,80
85248,3.6838790931989926,11184
85249,3.880851063829787,4430
85250,3.7908653846153846,13310
85251,3.9659980430528377,104719
85252,4.1923076923076925,653
85253,3.9888059701492535,21273
85254,3.9754552652414885,43649
85255,4.0048076923076925,23003
85256,3.5220588235294117,5208
85257,3.840725806451613,19680
85258,3.950064850843061,22362
85259,4.035175879396985,4651
85260,3.920160827110856,49985
85261,5.0,4
85262,3.9482758620689653,2148
85264,3.5833333333333335,489
85266,4.129213483146067,1822
85267,4.35,177
85268,3.867088607594937,5485
85269,4.25,35
85271,3.6666666666666665,22
85274,5.0,3
85275,4.1875,89
85277,4.5,33
85280,4.333333333333333,118
85281,3.7163759144625774,82489
85282,3.6291018998272886,32270
